JobID,startTime,submitTime,user
755241,Sat Apr 20 13:53:27 CDT 2019,Sat Apr 20 13:25:47 CDT 2019,uozuguze
755242,Sat Apr 20 13:53:27 CDT 2019,Sat Apr 20 13:25:47 CDT 2019,uozuguze
755243,Sat Apr 20 13:53:27 CDT 2019,Sat Apr 20 13:25:47 CDT 2019,uozuguze
755244,Sat Apr 20 13:53:27 CDT 2019,Sat Apr 20 13:25:47 CDT 2019,uozuguze
755245,Sat Apr 20 13:53:27 CDT 2019,Sat Apr 20 13:28:00 CDT 2019,uozuguze
755246,Sat Apr 20 13:53:27 CDT 2019,Sat Apr 20 13:28:00 CDT 2019,uozuguze
755247,Sat Apr 20 13:53:27 CDT 2019,Sat Apr 20 13:28:00 CDT 2019,uozuguze
755248,Sat Apr 20 13:53:27 CDT 2019,Sat Apr 20 13:28:00 CDT 2019,uozuguze
755249,Sat Apr 20 13:53:27 CDT 2019,Sat Apr 20 13:28:00 CDT 2019,uozuguze
755250,Sat Apr 20 13:55:26 CDT 2019,Sat Apr 20 13:28:00 CDT 2019,uozuguze
755251,Sat Apr 20 13:55:27 CDT 2019,Sat Apr 20 13:28:01 CDT 2019,uozuguze
755252,Sat Apr 20 14:01:17 CDT 2019,Sat Apr 20 13:28:01 CDT 2019,uozuguze
755253,Sat Apr 20 14:01:18 CDT 2019,Sat Apr 20 13:28:01 CDT 2019,uozuguze
755254,Sat Apr 20 14:01:18 CDT 2019,Sat Apr 20 13:28:01 CDT 2019,uozuguze
755255,Sat Apr 20 14:01:18 CDT 2019,Sat Apr 20 13:28:01 CDT 2019,uozuguze
755256,Sat Apr 20 14:01:18 CDT 2019,Sat Apr 20 13:28:01 CDT 2019,uozuguze
755257,Sat Apr 20 14:01:18 CDT 2019,Sat Apr 20 13:28:01 CDT 2019,uozuguze
755258,Sat Apr 20 14:01:18 CDT 2019,Sat Apr 20 13:28:01 CDT 2019,uozuguze
755259,Sat Apr 20 14:08:12 CDT 2019,Sat Apr 20 13:28:01 CDT 2019,uozuguze
755260,Sat Apr 20 14:08:14 CDT 2019,Sat Apr 20 13:28:01 CDT 2019,uozuguze
755261,Sat Apr 20 14:08:14 CDT 2019,Sat Apr 20 13:28:02 CDT 2019,uozuguze
755262,Sat Apr 20 14:08:14 CDT 2019,Sat Apr 20 13:28:02 CDT 2019,uozuguze
755263,Sat Apr 20 15:01:49 CDT 2019,Sat Apr 20 13:28:02 CDT 2019,uozuguze
755264,Sat Apr 20 15:01:50 CDT 2019,Sat Apr 20 13:28:02 CDT 2019,uozuguze
755265,Sat Apr 20 15:06:12 CDT 2019,Sat Apr 20 13:28:02 CDT 2019,uozuguze
755266,Sat Apr 20 13:39:42 CDT 2019,Sat Apr 20 13:28:29 CDT 2019,janfisch
755267,Sat Apr 20 14:40:25 CDT 2019,Sat Apr 20 14:14:08 CDT 2019,janfisch
755268,Sat Apr 20 14:40:24 CDT 2019,Sat Apr 20 14:20:12 CDT 2019,obazgir
755269,Sat Apr 20 14:40:25 CDT 2019,Sat Apr 20 14:39:07 CDT 2019,msanati
755270,Sat Apr 20 15:08:12 CDT 2019,Sat Apr 20 14:39:55 CDT 2019,msanati
755271,Sat Apr 20 15:28:01 CDT 2019,Sat Apr 20 14:40:48 CDT 2019,msanati
755272,Sat Apr 20 15:28:02 CDT 2019,Sat Apr 20 14:41:15 CDT 2019,msanati
755273,Sat Apr 20 17:27:15 CDT 2019,Sat Apr 20 14:42:17 CDT 2019,msanati
755274,Sat Apr 20 17:47:31 CDT 2019,Sat Apr 20 15:33:33 CDT 2019,msanati
755276,Sat Apr 20 16:57:53 CDT 2019,Sat Apr 20 16:57:53 CDT 2019,akitazum
755278,Sat Apr 20 17:36:00 CDT 2019,Sat Apr 20 17:36:00 CDT 2019,stepcouc
755283,Sat Apr 20 17:47:31 CDT 2019,Sat Apr 20 17:43:45 CDT 2019,rmanser
755284,Sat Apr 20 19:02:06 CDT 2019,Sat Apr 20 17:43:48 CDT 2019,rmanser
755286,Sat Apr 20 19:02:06 CDT 2019,Sat Apr 20 18:42:28 CDT 2019,akitazum
755287,Sat Apr 20 19:02:06 CDT 2019,Sat Apr 20 18:42:28 CDT 2019,akitazum
755288,Sat Apr 20 19:02:06 CDT 2019,Sat Apr 20 18:42:28 CDT 2019,akitazum
755289,Sat Apr 20 19:02:06 CDT 2019,Sat Apr 20 18:42:28 CDT 2019,akitazum
755290,Sat Apr 20 19:02:06 CDT 2019,Sat Apr 20 18:42:28 CDT 2019,akitazum
755291,Sat Apr 20 19:02:06 CDT 2019,Sat Apr 20 18:42:28 CDT 2019,akitazum
755292,Sat Apr 20 19:02:06 CDT 2019,Sat Apr 20 18:42:29 CDT 2019,akitazum
755293,Sat Apr 20 19:02:06 CDT 2019,Sat Apr 20 18:42:29 CDT 2019,akitazum
755294,Sat Apr 20 19:02:06 CDT 2019,Sat Apr 20 18:42:29 CDT 2019,akitazum
755295,Sat Apr 20 19:02:06 CDT 2019,Sat Apr 20 18:42:29 CDT 2019,akitazum
755296,Sat Apr 20 19:02:06 CDT 2019,Sat Apr 20 18:42:29 CDT 2019,akitazum
755297,Sat Apr 20 19:02:06 CDT 2019,Sat Apr 20 18:42:29 CDT 2019,akitazum
755298,Sat Apr 20 19:02:07 CDT 2019,Sat Apr 20 18:42:29 CDT 2019,akitazum
755299,Sat Apr 20 19:02:07 CDT 2019,Sat Apr 20 18:42:29 CDT 2019,akitazum
755300,Sat Apr 20 19:02:07 CDT 2019,Sat Apr 20 18:42:30 CDT 2019,akitazum
755301,Sat Apr 20 19:02:07 CDT 2019,Sat Apr 20 18:42:30 CDT 2019,akitazum
755302,Sat Apr 20 19:02:07 CDT 2019,Sat Apr 20 18:42:30 CDT 2019,akitazum
755303,Sat Apr 20 19:02:07 CDT 2019,Sat Apr 20 18:42:30 CDT 2019,akitazum
754280,Thu Apr 18 09:40:38 CDT 2019,Thu Apr 18 09:33:01 CDT 2019,sabaty
755305,Sat Apr 20 19:02:07 CDT 2019,Sat Apr 20 18:42:30 CDT 2019,akitazum
755306,Sat Apr 20 19:05:18 CDT 2019,Sat Apr 20 18:42:30 CDT 2019,akitazum
755307,Sat Apr 20 19:05:19 CDT 2019,Sat Apr 20 18:42:30 CDT 2019,akitazum
755308,Sat Apr 20 19:35:04 CDT 2019,Sat Apr 20 18:42:30 CDT 2019,akitazum
755309,Sat Apr 20 19:36:48 CDT 2019,Sat Apr 20 18:42:31 CDT 2019,akitazum
755310,Sat Apr 20 19:36:48 CDT 2019,Sat Apr 20 18:42:31 CDT 2019,akitazum
755311,Sat Apr 20 19:36:48 CDT 2019,Sat Apr 20 18:42:31 CDT 2019,akitazum
