CMDLINE /opt/rh/rh-python36/password/usr/bin/python3 MetricsBuilder2.py
MEM 149.437500 1572297080.8145
MEM 149.468750 1572297080.9149
MEM 150.308594 1572297081.0155
MEM 150.343750 1572297081.1160
MEM 150.906250 1572297081.2165
MEM 151.382812 1572297081.3169
MEM 152.023438 1572297081.4174
MEM 152.703125 1572297081.5179
MEM 152.894531 1572297081.6184
MEM 152.003906 1572297081.7190
MEM 152.265625 1572297081.8195
MEM 153.238281 1572297081.9200
MEM 153.371094 1572297082.0205
MEM 152.093750 1572297082.1212
MEM 152.929688 1572297082.2218
MEM 153.007812 1572297082.3224
MEM 153.156250 1572297082.4231
MEM 153.964844 1572297082.5237
MEM 154.296875 1572297082.6243
MEM 154.285156 1572297082.7250
MEM 154.445312 1572297082.8256
MEM 154.828125 1572297082.9263
MEM 153.925781 1572297083.0269
MEM 154.371094 1572297083.1275
MEM 154.437500 1572297083.2280
MEM 154.601562 1572297083.3286
MEM 154.785156 1572297083.4291
MEM 153.546875 1572297083.5296
MEM 153.644531 1572297083.6302
MEM 152.546875 1572297083.7309
MEM 152.636719 1572297083.8315
MEM 152.628906 1572297083.9321
MEM 152.746094 1572297084.0327
MEM 152.746094 1572297084.1334
MEM 151.515625 1572297084.2340
MEM 151.734375 1572297084.3347
MEM 150.476562 1572297084.4353
MEM 150.417969 1572297084.5359
MEM 150.421875 1572297084.6365
MEM 150.601562 1572297084.7372
MEM 151.132812 1572297084.8378
MEM 151.238281 1572297084.9384
MEM 151.597656 1572297085.0390
MEM 151.808594 1572297085.1395
MEM 151.753906 1572297085.2401
MEM 151.953125 1572297085.3408
MEM 150.562500 1572297085.4413
MEM 151.101562 1572297085.5421
MEM 151.257812 1572297085.6427
MEM 151.269531 1572297085.7434
MEM 151.773438 1572297085.8440
MEM 151.812500 1572297085.9448
MEM 151.964844 1572297086.0453
MEM 152.210938 1572297086.1461
MEM 151.222656 1572297086.2467
MEM 151.199219 1572297086.3475
MEM 151.589844 1572297086.4481
MEM 151.558594 1572297086.5488
MEM 151.511719 1572297086.6494
MEM 151.578125 1572297086.7500
MEM 151.574219 1572297086.8507
MEM 150.398438 1572297086.9513
MEM 150.328125 1572297087.0520
MEM 150.273438 1572297087.1527
MEM 150.617188 1572297087.2533
MEM 150.621094 1572297087.3539
MEM 150.812500 1572297087.4545
MEM 150.839844 1572297087.5551
MEM 150.757812 1572297087.6558
MEM 150.726562 1572297087.7563
MEM 151.066406 1572297087.8570
MEM 149.871094 1572297087.9575
MEM 149.871094 1572297088.0582
MEM 149.871094 1572297088.1590
MEM 149.871094 1572297088.2597
MEM 149.871094 1572297088.3603
MEM 149.871094 1572297088.4610
MEM 149.871094 1572297088.5618
MEM 149.871094 1572297088.6624
MEM 149.871094 1572297088.7631
MEM 149.871094 1572297088.8637
MEM 149.871094 1572297088.9644
MEM 149.871094 1572297089.0648
MEM 149.929688 1572297089.1656
MEM 149.929688 1572297089.2661
MEM 149.929688 1572297089.3668
MEM 149.929688 1572297089.4673
MEM 149.929688 1572297089.5680
MEM 149.929688 1572297089.6686
MEM 149.929688 1572297089.7692
MEM 149.929688 1572297089.8700
MEM 149.929688 1572297089.9707
MEM 149.929688 1572297090.0712
MEM 149.929688 1572297090.1719
MEM 149.929688 1572297090.2726
MEM 149.929688 1572297090.3732
MEM 149.929688 1572297090.4739
MEM 149.929688 1572297090.5746
MEM 149.929688 1572297090.6752
MEM 149.929688 1572297090.7758
MEM 149.929688 1572297090.8764
MEM 149.929688 1572297090.9772
MEM 149.929688 1572297091.0779
MEM 149.929688 1572297091.1785
MEM 149.929688 1572297091.2791
MEM 149.929688 1572297091.3798
MEM 149.929688 1572297091.4805
MEM 149.929688 1572297091.5811
MEM 149.929688 1572297091.6817
MEM 149.929688 1572297091.7823
MEM 149.929688 1572297091.8830
MEM 149.929688 1572297091.9835
MEM 149.929688 1572297092.0842
MEM 149.929688 1572297092.1849
MEM 149.929688 1572297092.2857
MEM 149.929688 1572297092.3863
MEM 149.929688 1572297092.4869
MEM 149.929688 1572297092.5877
MEM 149.929688 1572297092.6885
MEM 149.933594 1572297092.7892
MEM 150.074219 1572297092.8899
MEM 151.015625 1572297092.9906
MEM 152.281250 1572297093.0912
MEM 153.773438 1572297093.1918
MEM 136.273438 1572297093.2925
MEM 136.273438 1572297093.3932
MEM 136.273438 1572297093.4940
MEM 131.164062 1572297093.5948
MEM 131.164062 1572297093.6955
MEM 131.164062 1572297093.7961
MEM 131.164062 1572297093.8970
MEM 131.164062 1572297093.9977
MEM 131.164062 1572297094.0984
MEM 131.164062 1572297094.1990
MEM 131.164062 1572297094.2998
MEM 131.164062 1572297094.4004
MEM 131.164062 1572297094.5009
MEM 131.164062 1572297094.6014
MEM 131.164062 1572297094.7020
MEM 131.164062 1572297094.8025
MEM 131.164062 1572297094.9031
MEM 131.164062 1572297095.0037
MEM 131.164062 1572297095.1042
MEM 131.164062 1572297095.2048
MEM 131.164062 1572297095.3053
MEM 131.164062 1572297095.4059
MEM 131.164062 1572297095.5064
MEM 131.164062 1572297095.6070
MEM 131.164062 1572297095.7076
MEM 131.164062 1572297095.8082
MEM 131.164062 1572297095.9088
MEM 131.164062 1572297096.0093
MEM 131.164062 1572297096.1099
MEM 131.164062 1572297096.2104
MEM 131.164062 1572297096.3110
MEM 131.164062 1572297096.4116
MEM 131.164062 1572297096.5122
MEM 131.164062 1572297096.6128
MEM 131.164062 1572297096.7134
MEM 131.164062 1572297096.8139
MEM 131.164062 1572297096.9145
MEM 131.164062 1572297097.0150
MEM 131.164062 1572297097.1156
MEM 131.164062 1572297097.2162
MEM 131.164062 1572297097.3168
MEM 131.164062 1572297097.4173
MEM 131.164062 1572297097.5179
MEM 131.164062 1572297097.6184
MEM 131.164062 1572297097.7191
MEM 131.164062 1572297097.8197
MEM 131.164062 1572297097.9202
MEM 131.164062 1572297098.0208
MEM 131.164062 1572297098.1213
MEM 131.164062 1572297098.2219
MEM 131.164062 1572297098.3224
MEM 131.164062 1572297098.4230
MEM 131.164062 1572297098.5236
